,Env
ERR1582433,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
ERR2816562,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
SRR4304160,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
SRR5287315,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
ERR983265,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
SRR3624255,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
SRR1930320,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
SRR5002981,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
SRR6507697,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
SRR5287297,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
SRR6465799,root:Host-associated:Human:Digestive system:Oral:Saliva
SRR6507508,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
ERR2842275,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
SRR4303494,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
SRR4303877,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
DRR018730,root:Host-associated:Human:Digestive system:Oral:Saliva
ERR2816707,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
ERR1582859,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
SRR8553523,root:Host-associated:Mammals:Digestive system:Large intestine:Cecum
SRR1145720,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
SRR5185858,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
ERR1582417,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
SRR6466152,root:Host-associated:Human:Digestive system:Oral:Saliva
SRR6746003,root:Environmental:Aquatic:Marine:Coastal:Sediment
ERR1582767,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
SRR5189883,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
SRR8553500,root:Host-associated:Mammals:Digestive system:Large intestine:Cecum
ERR1583062,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
ERR441154,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
SRR3633015,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
DRR139214,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
ERR2233242,root:Environmental:Aquatic:Marine:Oceanic:Sediment
SRR5287260,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
SRR3479847,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
DRR029244,root:Host-associated:Human:Digestive system:Oral:Saliva
DRR084466,root:Environmental:Aquatic:Marine:Coastal:Sediment
ERR2486257,root:Host-associated:Birds:Digestive system:Digestive tube:Cecum
SRR1930620,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
SRR5003019,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
SRR7502362,root:Host-associated:Human:Digestive system:Large intestine:Fecal
SRR6746498,root:Environmental:Aquatic:Marine:Coastal:Sediment
ERR1583142,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
ERR481942,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERR2842328,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
ERR441550,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
SRR6465783,root:Host-associated:Human:Digestive system:Oral:Saliva
SRR5860933,root:Environmental:Aquatic:Freshwater:Wetlands:Sediment
SRR3426402,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
ERR2725013,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
SRR1145302,root:Host-associated:Human:Digestive system:Oral:Saliva
SRR6465359,root:Host-associated:Human:Digestive system:Oral:Saliva
SRR5189495,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
ERR2842398,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
ERR1582940,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
SRR5688087,root:Host-associated:Human:Digestive system:Large intestine:Fecal
SRR8553005,root:Host-associated:Mammals:Digestive system:Large intestine:Cecum
SRR6444794,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERR867440,root:Host-associated:Human:Digestive system:Large intestine:Fecal
SRR5184538,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
ERR2331038,root:Host-associated:Mammals:Digestive system:Large intestine:Cecum
ERZ506431,root:Host-associated:Human:Digestive system:Large intestine:Fecal
SRR5003012,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
SRR5185824,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
ERR2725722,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
ERR441567,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
SRR7078444,root:Host-associated:Birds:Digestive system:Digestive tube:Cecum
DRR161679,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
ERR2816538,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
ERR2816938,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
SRR2242504,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
SRR5185609,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
DRR084416,root:Environmental:Aquatic:Marine:Coastal:Sediment
ERR1583269,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
SRR2242302,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
ERR1582239,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
SRR5185687,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
SRR1289068,root:Host-associated:Human:Digestive system:Large intestine:Fecal
DRR139309,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
SRR5189220,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
ERZ4933523,root:Host-associated:Birds:Digestive system:Digestive tube:Cecum
SRR3624216,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
ERR2816471,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
ERR441666,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
ERR1583199,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
SRR6507680,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
ERR2816591,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
SRR8552969,root:Host-associated:Mammals:Digestive system:Large intestine:Cecum
SRR8553330,root:Host-associated:Mammals:Digestive system:Large intestine:Cecum
SRR8553021,root:Host-associated:Mammals:Digestive system:Large intestine:Cecum
ERR3006001,root:Host-associated:Human:Digestive system:Large intestine:Fecal
SRR3633510,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
SRR5287336,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
ERZ475885,root:Host-associated:Human:Digestive system:Oral:Saliva
DRR161839,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
SRR5185982,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
ERZ509030,root:Host-associated:Human:Digestive system:Large intestine:Fecal
SRR6221419,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERR1583321,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
ERR2842429,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
ERR2486151,root:Host-associated:Birds:Digestive system:Digestive tube:Cecum
ERR2233245,root:Environmental:Aquatic:Marine:Oceanic:Sediment
SRR5184561,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
ERR1582148,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
SRR1145706,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
SRR6507756,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
SRR7078514,root:Host-associated:Birds:Digestive system:Digestive tube:Cecum
ERR1582421,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
SRR822556,root:Host-associated:Human:Digestive system:Oral:Saliva
SRR5002900,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
ERR2486163,root:Host-associated:Birds:Digestive system:Digestive tube:Cecum
SRR4105464,root:Environmental:Aquatic:Marine:Coastal:Sediment
SRR1930488,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
ERR674148,root:Host-associated:Mammals:Digestive system:Large intestine:Fecal
DRR065571,root:Environmental:Aquatic:Marine:Coastal:Sediment
SRR6507444,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
ERR2211829,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
ERR4334731,root:Environmental:Aquatic:Freshwater:Lentic:Sediment
ERR441780,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
SRR4304289,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
SRR6298920,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERR1582437,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
ERR2816922,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
ERR1582772,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
SRR5189200,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
SRR5003069,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
SRR6746173,root:Environmental:Aquatic:Marine:Coastal:Sediment
SRR1145309,root:Host-associated:Human:Digestive system:Oral:Saliva
SRR6507414,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
SRR7078357,root:Host-associated:Birds:Digestive system:Digestive tube:Cecum
SRR5433991,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
DRR165917,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
SRR5800736,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
SRR1930316,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
ERR441413,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
DRR161738,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
ERR2715652,root:Environmental:Aquatic:Freshwater:Lentic:Sediment
ERZ2916293,root:Host-associated:Birds:Digestive system:Digestive tube:Cecum
DRR139362,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
SRR2297124,root:Environmental:Aquatic:Marine:Coastal:Sediment
ERR441887,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
SRR8552985,root:Host-associated:Mammals:Digestive system:Large intestine:Cecum
DRR139507,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
ERR2715168,root:Environmental:Aquatic:Freshwater:Lentic:Sediment
SRR8553332,root:Host-associated:Mammals:Digestive system:Large intestine:Cecum
ERR441322,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
SRR3035105,root:Host-associated:Human:Digestive system:Oral:Saliva
SRR6465200,root:Host-associated:Human:Digestive system:Oral:Saliva
ERR1583074,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
ERR1583152,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
SRR1930423,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
ERR2725337,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
SRR4303051,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
SRR5287425,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
SRR6465957,root:Host-associated:Human:Digestive system:Oral:Saliva
SRR4303636,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
SRR4300273,root:Environmental:Aquatic:Marine:Coastal:Sediment
SRR5003341,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
SRR4304052,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
ERR3592974,root:Host-associated:Human:Digestive system:Large intestine:Fecal
SRR4303620,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
ERR2724945,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
ERR561020,root:Host-associated:Human:Digestive system:Large intestine:Fecal
SRR4303205,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
ERR2486388,root:Host-associated:Birds:Digestive system:Digestive tube:Cecum
SRR2297114,root:Environmental:Aquatic:Marine:Coastal:Sediment
SRR1930298,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
SRR5433977,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
SRR3420074,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
SRR1288859,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERR1583000,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
